
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-30 06:57:55 / .......................................... ~ 500.49ms
  2026-07-30 06:59:18 /login ....................................... ~ 0.12ms
  2026-07-30 06:59:18 /build/assets/app-Th_wb2pE.css ............... ~ 0.04ms
  2026-07-30 06:59:18 /build/assets/login-B_D3X_9w.js .............. ~ 0.07ms
  2026-07-30 06:59:18 /build/assets/input-error-C3K7Uo8-.js ........ ~ 0.19ms
  2026-07-30 06:59:18 /build/assets/text-link-B5u3lSgd.js .......... ~ 0.35ms
  2026-07-30 06:59:19 /build/assets/app-logo-icon-D_xefw_3.js ...... ~ 0.52ms
  2026-07-30 06:59:19 /build/assets/checkbox-BbgFQs37.js ........... ~ 0.60ms
  2026-07-30 06:59:18 /build/assets/app-CIWlN-lJ.js ................ ~ 0.75ms
  2026-07-30 06:59:19 /build/assets/index-ckG7WCkF.js .............. ~ 0.06ms
  2026-07-30 06:59:19 /build/assets/label-Jjn1SYZa.js .............. ~ 0.24ms
  2026-07-30 06:59:19 /build/assets/auth-layout-Cvqg8nDn.js ........ ~ 0.42ms
  2026-07-30 06:59:19 /build/assets/utils-CHZDokM3.js .............. ~ 0.56ms
  2026-07-30 06:59:19 /build/assets/index-luL_Ks2w.js .............. ~ 0.69ms
  2026-07-30 06:59:19 /build/assets/check-DCj8k6S6.js .............. ~ 0.31ms
  2026-07-30 06:59:19 /build/assets/app-Th_wb2pE.css ............... ~ 0.11ms
  2026-07-30 06:59:19 /logo3.jpeg .................................. ~ 0.11ms
  2026-07-30 06:59:21 /login ..................................... ~ 500.48ms
  2026-07-30 06:59:22 /dashboard ................................... ~ 0.03ms
  2026-07-30 06:59:22 /build/assets/dashboard-D7dQpoUQ.js .......... ~ 0.08ms
  2026-07-30 06:59:22 /build/assets/floating-ui.react-dom-BvBEi-Br.js  ~ 0.18ms
  2026-07-30 06:59:22 /build/assets/app-layout-R_Jt4Ncg.js ......... ~ 0.25ms
  2026-07-30 06:59:22 /build/assets/PieChart-DB-bHzlO.js ........... ~ 0.34ms
  2026-07-30 06:59:22 /build/assets/with-selector-5m8D8T0x.js ...... ~ 0.46ms
  2026-07-30 06:59:22 /build/assets/circle-alert-CcyLCgGT.js ....... ~ 0.54ms
  2026-07-30 06:59:22 /logo4.jpeg .................................. ~ 0.13ms
  2026-07-30 06:59:23 /materials ................................... ~ 0.10ms
  2026-07-30 06:59:24 /build/assets/app-Th_wb2pE.css ............... ~ 0.11ms
  2026-07-30 06:59:24 /build/assets/index-B1d1f4gU.js .............. ~ 0.07ms
  2026-07-30 06:59:24 /build/assets/delete-confirmation-modal-B_DNcVal.js  ~ 0.22ms
  2026-07-30 06:59:24 /build/assets/plus-Bih7FFuL.js ............... ~ 0.27ms
  2026-07-30 06:59:24 /build/assets/search-2FV0O587.js ............. ~ 0.44ms
  2026-07-30 06:59:24 /build/assets/pen-line-BR-1yHtz.js ........... ~ 0.62ms
  2026-07-30 06:59:24 /build/assets/trash-2-D4ioOfWV.js ............ ~ 0.76ms
  2026-07-30 06:59:24 /build/assets/dialog-DmaykLJj.js ............. ~ 0.07ms
  2026-07-30 06:59:24 /build/assets/app-CIWlN-lJ.js ................ ~ 0.20ms
  2026-07-30 06:59:24 /build/assets/app-layout-R_Jt4Ncg.js ......... ~ 0.35ms
  2026-07-30 06:59:24 /build/assets/app-logo-icon-D_xefw_3.js ...... ~ 0.45ms
  2026-07-30 06:59:24 /build/assets/utils-CHZDokM3.js .............. ~ 0.54ms
  2026-07-30 06:59:24 /build/assets/index-ckG7WCkF.js .............. ~ 0.79ms
  2026-07-30 06:59:24 /build/assets/index-luL_Ks2w.js .............. ~ 0.05ms
  2026-07-30 06:59:25 /build/assets/floating-ui.react-dom-BvBEi-Br.js  ~ 0.19ms
  2026-07-30 06:59:25 /build/assets/check-DCj8k6S6.js .............. ~ 0.24ms
  2026-07-30 06:59:25 /build/assets/app-Th_wb2pE.css ............... ~ 0.11ms
  2026-07-30 06:59:26 /logo4.jpeg .................................. ~ 0.13ms
  2026-07-30 06:59:26 /logo3.jpeg .................................. ~ 0.48ms
  2026-07-30 06:59:29 /materials ................................... ~ 0.11ms
  2026-07-30 06:59:29 /materials ................................... ~ 0.14ms
  2026-07-30 07:00:57 /login ..................................... ~ 500.51ms
  2026-07-30 07:00:57 /build/assets/app-Th_wb2pE.css ............... ~ 0.04ms
  2026-07-30 07:00:57 /build/assets/login-B_D3X_9w.js .............. ~ 0.07ms
  2026-07-30 07:00:57 /build/assets/input-error-C3K7Uo8-.js ........ ~ 0.26ms
  2026-07-30 07:00:57 /build/assets/text-link-B5u3lSgd.js .......... ~ 0.36ms
  2026-07-30 07:00:57 /build/assets/app-logo-icon-D_xefw_3.js ...... ~ 0.56ms
  2026-07-30 07:00:57 /build/assets/app-CIWlN-lJ.js ................ ~ 0.69ms
  2026-07-30 07:00:57 /build/assets/checkbox-BbgFQs37.js ........... ~ 0.80ms
  2026-07-30 07:00:57 /build/assets/index-ckG7WCkF.js .............. ~ 0.06ms
  2026-07-30 07:00:57 /build/assets/label-Jjn1SYZa.js .............. ~ 0.26ms
