
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.

   INFO  Server running on [http://0.0.0.0:8000].

  Press Ctrl+C to stop the server

  2026-08-06 19:15:23 / .......................................... ~ 500.41ms

   INFO  Environment modified. Restarting server...

   INFO  Server running on [http://0.0.0.0:8000].

  Press Ctrl+C to stop the server

  2026-08-06 19:31:54 / .......................................... ~ 500.44ms
  2026-08-06 19:33:23 /login ....................................... ~ 0.11ms
  2026-08-06 19:33:23 /build/assets/app-D4_8RGQL.css ............... ~ 0.12ms
  2026-08-06 19:33:23 /build/assets/app-ZxX1NWSz.js ................ ~ 0.03ms
  2026-08-06 19:33:23 /build/assets/login-Dh95QfY6.js .............. ~ 0.21ms
  2026-08-06 19:33:23 /build/assets/input-error-CXua5UBe.js ........ ~ 0.36ms
  2026-08-06 19:33:23 /build/assets/text-link-BPfaXlKX.js .......... ~ 0.46ms
  2026-08-06 19:33:23 /build/assets/button-CihwHZ5W.js ............. ~ 0.53ms
  2026-08-06 19:33:23 /build/assets/checkbox-Ck01ZE4_.js ........... ~ 0.66ms
  2026-08-06 19:33:23 /build/assets/index-CyTbW9oh.js .............. ~ 0.83ms
  2026-08-06 19:33:23 /build/assets/label-BerR_9SR.js .............. ~ 0.07ms
  2026-08-06 19:33:23 /build/assets/auth-layout-CwdyeF6w.js ........ ~ 0.21ms
  2026-08-06 19:33:23 /build/assets/loader-circle-oz6T1q9R.js ...... ~ 0.30ms
  2026-08-06 19:33:23 /build/assets/utils-CuwgxiP6.js .............. ~ 0.40ms
  2026-08-06 19:33:23 /build/assets/index-DfoCvG4_.js .............. ~ 0.52ms
  2026-08-06 19:33:23 /build/assets/index-DgpA2FXE.js .............. ~ 0.65ms
  2026-08-06 19:33:23 /build/assets/check-DD-oOoZo.js .............. ~ 0.04ms
  2026-08-06 19:33:23 /build/assets/app-logo-icon-B0oAzOVW.js ...... ~ 0.16ms
  2026-08-06 19:33:24 /build/assets/app-D4_8RGQL.css ............... ~ 0.09ms
  2026-08-06 19:33:24 /logo3.jpeg .................................. ~ 0.03ms
  2026-08-06 19:33:26 /login ..................................... ~ 500.78ms
  2026-08-06 19:33:26 /dashboard ................................... ~ 0.03ms
  2026-08-06 19:33:26 /build/assets/dashboard-DIesq2RI.js .......... ~ 0.03ms
  2026-08-06 19:33:26 /build/assets/app-layout-CdcQRjn5.js ......... ~ 0.07ms
  2026-08-06 19:33:26 /build/assets/index-CkiXMcQs.js .............. ~ 0.18ms
  2026-08-06 19:33:26 /build/assets/floating-ui.react-dom-BVZHT-UB.js  ~ 0.32ms
  2026-08-06 19:33:26 /build/assets/with-selector-BMgidMWz.js ...... ~ 0.37ms
  2026-08-06 19:33:26 /build/assets/PieChart-BNDyoiFw.js ........... ~ 0.47ms
  2026-08-06 19:33:26 /build/assets/circle-alert-BAUaZrq0.js ....... ~ 0.57ms
  2026-08-06 19:33:27 /logo4.jpeg .................................. ~ 0.09ms
  2026-08-06 19:33:29 /clients ..................................... ~ 0.10ms
  2026-08-06 19:33:29 /build/assets/index-DPQoj0Fc.js .............. ~ 0.08ms
  2026-08-06 19:33:29 /build/assets/searchable-select-pCZsA6_a.js .. ~ 0.24ms
  2026-08-06 19:33:29 /build/assets/transition-CUa96IPR.js ......... ~ 0.30ms
  2026-08-06 19:33:29 /build/assets/delete-confirmation-modal-DfehzGwY.js  ~ 0.41ms
  2026-08-06 19:33:29 /build/assets/dialog-DZsHikgZ.js ............. ~ 0.50ms
  2026-08-06 19:33:29 /build/assets/save-confirmation-modal-Auu7iNHV.js  ~ 0.62ms
  2026-08-06 19:33:29 /clients ..................................... ~ 0.03ms
  2026-08-06 19:33:29 /build/assets/plus-Bv9SSFeK.js ............... ~ 0.62ms
